"dia","total_accidentes","accidentes_fatales","proporcion"
"no especificado",33624,2874,0.08547466095645967166
"domingo",1425899,24452,0.01714847966090164871
"sabado",1642661,21406,0.01303129495373665047
"lunes",1420193,15581,0.01097104407640370006
"viernes",1505939,15515,0.01030254213484078704
"jueves",1311818,13076,0.00996784614938962570
"miercoles",1297824,12785,0.00985110461819168084
"martes",1290426,12637,0.00979289009985849634
