"alientoalcoholico","total_accidentes","accidentes_fatales","proporcion"
"no especificado",3145,629,0.20000000000000000000
"se fugo",1035280,23984,0.02316667954563016768
"se ignora",2148661,34144,0.01589082689172466015
"si",822743,11076,0.01346228409114389305
"no",5853506,48493,0.00828443671194665214
